datetime,symbol,exchange,open,high,low,close,volume,turnover,open_interest
2019-12-16 01:15:00,MHImain,HKFE,27600.0,27747.0,27509.0,27570.0,35461.0,979897553.0,0.0
2019-12-16 11:00:00,MHImain,HKFE,27569.0,27656.0,27518.0,27585.0,23507.0,648807127.0,0.0
2019-12-16 17:15:00,MHImain,HKFE,27575.0,27630.0,27566.0,27625.0,3374.0,93114023.0,0.0
2019-12-16 21:15:00,MHImain,HKFE,27625.0,27726.0,27622.0,27718.0,8115.0,224640557.0,0.0
2019-12-17 01:15:00,MHImain,HKFE,27716.0,27793.0,27562.0,27759.0,37063.0,1026213325.0,0.0
2019-12-17 11:00:00,MHImain,HKFE,27760.0,27922.0,27728.0,27823.0,35356.0,983991282.0,0.0
2019-12-17 17:15:00,MHImain,HKFE,27819.0,27846.0,27766.0,27813.0,4823.0,134084029.0,0.0
2019-12-17 21:15:00,MHImain,HKFE,27812.0,27866.0,27784.0,27850.0,6146.0,170993925.0,0.0
2019-12-18 01:15:00,MHImain,HKFE,27848.0,28031.0,27817.0,27836.0,39150.0,1093114242.0,0.0
2019-12-18 11:00:00,MHImain,HKFE,27838.0,27931.0,27786.0,27913.0,27280.0,759839662.0,0.0
2019-12-18 17:15:00,MHImain,HKFE,27912.0,27966.0,27897.0,27925.0,3692.0,103127526.0,0.0
2019-12-18 21:15:00,MHImain,HKFE,27924.0,27939.0,27877.0,27899.0,5258.0,146733601.0,0.0
2019-12-19 01:15:00,MHImain,HKFE,27897.0,27975.0,27692.0,27728.0,32561.0,906238068.0,0.0
2019-12-19 11:00:00,MHImain,HKFE,27727.0,27865.0,27722.0,27809.0,19964.0,554760458.0,0.0
2019-12-19 17:15:00,MHImain,HKFE,27805.0,27823.0,27762.0,27764.0,4078.0,113350939.0,0.0
2019-12-19 21:15:00,MHImain,HKFE,27764.0,27861.0,27752.0,27844.0,4917.0,136695476.0,0.0
2019-12-20 01:15:00,MHImain,HKFE,27845.0,28014.0,27757.0,27973.0,39094.0,1090283915.0,0.0
2019-12-20 11:00:00,MHImain,HKFE,27976.0,27993.0,27819.0,27935.0,23755.0,662679479.0,0.0
2019-12-20 17:15:00,MHImain,HKFE,27935.0,27991.0,27913.0,27967.0,4341.0,121342471.0,0.0
2019-12-20 21:15:00,MHImain,HKFE,27965.0,27984.0,27929.0,27944.0,4825.0,134895950.0,0.0
2019-12-21 01:15:00,MHImain,HKFE,27943.0,27960.0,27930.0,27960.0,979.0,27360199.0,0.0
2019-12-23 01:15:00,MHImain,HKFE,28048.0,28084.0,27873.0,27876.0,31727.0,886861769.0,0.0
2019-12-23 11:00:00,MHImain,HKFE,27875.0,27923.0,27846.0,27860.0,18192.0,507318013.0,0.0
2019-12-23 17:15:00,MHImain,HKFE,27862.0,27907.0,27858.0,27897.0,1993.0,55585032.0,0.0
2019-12-23 21:15:00,MHImain,HKFE,27897.0,27900.0,27837.0,27851.0,2822.0,78658881.0,0.0
2019-12-24 01:15:00,MHImain,HKFE,27853.0,27921.0,27798.0,27859.0,23544.0,655769608.0,0.0
2019-12-24 11:00:00,MHImain,HKFE,27859.0,27892.0,27848.0,27859.0,5057.0,140927525.0,0.0
